Country,Daily Tests,Daily Tests per 100000 people,Pop density per sq. km,Urban Population (%),Start Date of Quarantine/Lockdown,Start Date of Schools Closure,Start Date of Public Place Restrictions,Hospital Beds per 1000 people,M-to-F Gender Ratio at Birth,M-to-F Gender Ratio at Age Grp 0 to 14,M-to-F Gender Ratio at Age Grp 14 to 25,M-to-F Gender Ratio at Age Grp 25 to 54,M-to-F Gender Ratio at Age Grp 54 to 65,M-to-F Gender Ratio at Age Grp 65+,Overall M-to-F Gender Ratio,Death rate from lung diseases per 100k people,Death rate from lung diseases per 100k people for female,Death rate from lung diseases per 100k people for male,Median Age,GDP 2018,Crime Index,Population 2020 (in thousands),Smokers in Population (%),% of Females in Population,Total Infected,Total Deaths,Total Recovered
Albania,,,105,63,,,,2.9,1.08,1.11,1.09,0.93,0.95,0.87,0.98,11.67,7.02,17.04,32.9,15102500898,40.02,2877.797,28.7,49.0630946,949,31,742
Algeria,,,18,73,,,,1.9,1.05,1.05,1.05,1.03,1.01,0.89,1.03,8.77,5.03,12.81,28.1,1.73758E+11,54.41,43851.044,15.6,49.48426788,7377,561,3746
Argentina,,,17,93,3/20/2020,,,5,1.05,1.06,1.05,1,0.94,0.71,0.98,29.27,20.16,42.59,31.7,5.19872E+11,62.96,45195.774,21.8,51.23734845,8809,393,2872
Armenia,694,2.342028649,104,63,,,,4.2,1.13,1.14,1.06,0.93,0.84,0.67,0.94,23.86,16.17,35.99,35.1,12433089919,20.78,2963.243,24.1,52.95657715,5041,64,2164
Australia,31635,12.40593879,3,86,,,3/23/2020,3.8,1.06,1.06,1.09,0.99,0.93,0.86,0.99,18.79,15.9,22.16,38.7,1.4339E+12,42.7,25499.884,14.7,50.19962324,7072,100,6431
Austria,10278,11.41188742,109,57,3/16/2020,,,7.6,1.05,1.05,1.04,1,0.98,0.76,0.96,17.02,13.02,22.14,44,4.55286E+11,23.23,9006.398,29.6,50.82942665,16321,632,14678
Azerbaijan,,,123,56,,,,4.7,1.11,1.15,1.09,0.96,0.86,0.62,0.98,20.61,14.07,29.32,31.3,46939529412,32.68,10139.177,20.8,50.1157491,3518,41,2198
Bahrain,13553,79.64973627,2239,89,,,,6.8,1.03,1.03,1.3,1.88,1.81,0.95,1.54,18.37,13.83,22.39,32.3,37746196809,29.18,1701.575,26.4,36.34825161,7532,12,2952
Bangladesh,,,1265,39,,,,0.8,1.04,1.04,1,0.93,0.98,0.97,0.97,69.07,61.7,76.24,26.7,2.74025E+11,64.98,164689.383,23,49.38729667,25121,370,4993
Belarus,16000,16.93242997,47,79,,,,11,1.06,1.06,1.06,0.97,0.79,0.46,0.87,9.46,2.83,21.51,40,59662495092,24.8,9449.323,26.7,53.45605422,31508,175,10620
Belgium,4225,3.645502533,383,98,3/18/2020,,,6.2,1.05,1.05,1.04,1.02,0.98,0.76,0.97,27.11,21.2,34.98,41.4,5.42761E+11,42.5,11589.623,28.2,50.59331939,55791,9108,14687
Bosnia and Herzegovina,,,64,52,,,,3.5,1.07,1.07,1.07,1.01,0.92,0.64,0.95,18.48,12.88,26.05,42.1,20161865419,43.57,3280.819,38.9,51.01053603,2321,134,1522
Brazil,2927,0.137702674,25,88,,,,2.2,1.05,1.04,1.03,0.98,0.89,0.74,0.97,26.57,19.71,35.83,32,1.86863E+12,69.48,212559.417,13.9,50.82991676,271885,17983,106794
Bulgaria,,,64,76,,,,6.8,1.06,1.06,1.09,1.06,0.88,0.69,0.95,19.79,13.98,27.92,42.7,65132951116,39.31,6948.445,37,51.41408841,2259,112,646
Cambodia,,,95,24,,,,0.8,1.05,1.02,0.98,0.96,0.65,0.6,0.94,34.21,30.47,39.66,25.3,24542474061,51.8,16718.965,17.2,51.19798127,122,0,122
Canada,76964,20.39205288,4,81,,3/15/2020,3/20/2020,2.7,1.06,1.05,1.06,1.03,0.98,0.8,0.98,19.01,16.95,21.55,42.2,1.71334E+12,39.48,37742.154,14.3,50.39152995,80493,6028,40069
Chile,,,26,85,,,,2.2,1.04,1.04,1.04,1,0.89,0.72,0.97,14.84,12.24,18.58,34.4,2.98231E+11,47.12,19116.201,37.8,50.72703184,49579,509,21507
China,320000,2.223266268,153,61,1/24/2020,,,4.2,1.15,1.17,1.14,1.04,1.02,0.92,1.06,63.1,56.35,70.52,37.4,1.36082E+13,36.7,1439323.776,25.6,48.67937396,84063,4638,79310
Colombia,2571,0.505277894,46,80,3/25/2020,,,1.5,1.06,1.05,1.04,0.98,0.88,0.72,0.98,36.3,31.33,42.49,30,3.31047E+11,52.54,50882.891,9,50.9257717,16935,613,4050
Costa Rica,,,100,80,,,,1.2,1.05,1.05,1.04,1.01,0.95,0.86,1.01,20.42,17.65,23.65,31.3,60130106116,55.77,5094.118,11.9,50.0098511,882,10,577
Croatia,1159,2.823202486,73,58,,,,5.6,1.06,1.06,1.05,1,0.96,0.69,0.93,21.75,14.54,32.7,43,60971699315,24.23,4105.267,37,51.85262175,2232,96,1967
Cuba,,,106,78,,,,5.2,1.06,1.06,1.08,1.01,0.94,0.81,0.99,23.3,20.53,26.67,41.5,1.00023E+11,27.62,11326.616,35.2,50.33284983,1887,79,1538
Cyprus,,,131,67,,,,3.4,1.05,1.06,1.19,1.11,0.92,0.77,1.04,17.85,11.34,26.04,36.8,24961988663,29.62,1207.359,36.4,49.9710745,918,17,515
Czech Republic,6302,5.884780261,139,74,,3/13/2020,3/13/2020,6.5,1.06,1.06,1.06,1.05,0.94,0.7,0.97,19.68,13.1,28.54,42.1,2.45226E+11,25.99,10708.981,34.3,50.80858893,8647,302,5726
Denmark,7620,13.15561854,137,88,3/16/2020,,,2.5,1.06,1.05,1.04,0.99,0.99,0.81,0.97,31.99,31.31,32.85,42.2,3.55675E+11,24.72,5792.202,19.1,50.27420273,11242,551,9614
Dominican Republic,,,225,85,,,,1.6,1.04,1.04,1.04,1.05,1.01,0.86,1.03,11.43,9.5,13.57,28.1,85555390387,60.62,10847.91,13.7,50.00779607,13223,441,6613
Ecuador,,,71,63,,,,1.5,1.05,1.04,1.03,0.95,0.96,0.91,0.99,24.07,18.85,30.17,27.7,1.08398E+11,48.91,17643.054,7.1,49.97062518,34151,2839,3457
Estonia,1387,10.45581157,31,68,,,,5,1.05,1.05,1.08,1.01,0.81,0.51,0.88,8.8,3.59,18.36,42.7,30732144529,22.17,1326.535,31.3,52.85842682,1791,64,938
Ethiopia,,,115,21,,,,0.3,1.03,1.01,0.99,0.99,0.95,0.82,0.99,18.56,13.55,24.28,17.9,84355604753,47.46,114963.588,4.4,49.97888842,365,5,120
Finland,900,1.624337631,18,86,,,,4.4,1.05,1.05,1.04,1.04,0.97,0.76,0.97,9.92,5.47,15.97,42.5,2.76743E+11,22.75,5540.72,20.4,50.72075849,6399,301,5000
France,11071,1.696093841,119,82,3/17/2020,,,6.5,1.05,1.05,1.05,1.01,0.93,0.75,0.96,13.15,9.64,17.69,41.4,2.77754E+12,46.45,65273.511,32.7,51.58424048,180933,28025,62678
Georgia,,,57,58,,,,2.6,1.08,1.11,1.11,0.95,0.81,0.64,0.92,23.26,15.96,34.46,38.1,17599660629,20.18,3989.167,28.8,52.2912375,707,12,456
Germany,,,240,76,3/21/2020,,,8.3,1.06,1.05,1.04,1.02,0.98,0.78,0.97,20.01,16.32,24.67,47.1,3.94762E+12,34.6,83783.942,30.6,50.66036737,177778,8081,155681
Ghana,,,137,57,,,,0.9,1.03,1.01,0.99,0.94,0.95,0.86,0.97,21.09,17.95,25.11,21.1,65556464048,51.57,31072.94,3.9,49.3258297,6096,31,1773
Greece,,,81,85,,,,4.3,1.06,1.06,1.05,0.99,0.96,0.78,0.95,20.62,18.3,23.49,44.5,2.18032E+11,39.29,10423.054,43.4,50.91620191,2840,165,1374
Honduras,,,89,57,,,,0.7,1.05,1.04,1.04,1.02,0.88,0.77,1.01,21.39,22.03,20.76,23,23969890431,75.84,9904.607,2,50.04934017,2955,147,349
Hungary,1587,1.642797451,107,72,,,,7,1.06,1.06,1.07,1.01,0.85,0.6,0.91,27.68,19.86,39.93,42.3,1.57883E+11,35.41,9660.351,30.6,52.43242803,3556,467,1412
Iceland,2278,66.75594811,3,94,,,,3.2,1.05,1.05,1.03,1.02,1.01,0.88,1.01,19.71,20.44,18.65,36.5,25878475760,23.15,341.243,14.7,49.81170852,1802,10,1789
India,5900,0.042753487,464,35,3/23/2020,,,0.7,1.12,1.13,1.13,1.06,1.01,0.9,1.08,96.92,87.54,106.89,27.9,2.71873E+12,42.38,1380004.385,11.5,48.02353964,106475,3302,42309
Indonesia,,,151,56,,,,1.2,1.05,1.04,1.04,1.04,0.84,0.77,1,36.26,23.54,51.83,30.2,1.04217E+12,46.26,273523.615,39.4,49.64388219,18496,1221,4467
Ireland,1784,3.61295528,72,63,,3/13/2020,3/13/2020,2.8,1.06,1.05,1.03,1.01,1,0.86,1,24.92,23.02,27.25,36.8,3.82487E+11,46.18,4937.786,24.3,50.42550948,24251,1561,19470
Israel,3872,4.473438095,400,93,3/19/2020,03/12/2020,3/15/2020,3.1,1.05,1.05,1.05,1.05,0.96,0.81,1.01,16.1,12.81,20.23,29.9,3.70588E+11,30.71,8655.535,25.2,50.29812658,16659,278,13435
Italy,148657,24.58691869,206,69,03/08/2020,,,3.4,1.06,1.04,1,0.98,0.94,0.75,0.93,17,12.78,22.78,45.5,2.08386E+12,44.35,60461.826,23.7,51.37666963,226699,32169,129401
